,C ID,C B1,C B2,C B3,C B4,C B5,C B6,C B7,C B8,F ID,F B1,F B2,F B3,F B4,F B5,F B6,F B7,F B8
0,418321152,220,5,25,21,0,0,0,0,[],0,0,0,0,0,0,0,0
1,418321152,46,6,25,21,0,0,0,0,418316051,1,0,96,68,0,255,0,128
2,418321152,88,6,25,21,0,0,0,0,435158803,134,5,0,0,192,255,255,255
3,418321152,133,6,25,21,0,0,0,0,435158803,136,5,0,0,192,255,255,255
4,418321152,142,6,25,21,0,0,0,0,435158803,136,5,0,0,192,255,255,255
5,418321152,182,6,25,21,0,0,0,0,435158803,136,133,128,2,193,255,255,255
6,418321152,187,6,25,21,0,0,0,0,435158803,141,133,3,5,193,255,255,255
7,418321152,225,6,25,21,0,0,0,0,435158803,169,69,5,5,193,255,255,255
8,418321152,248,6,25,21,0,0,0,0,435158803,207,5,6,5,193,255,255,255
9,418321152,27,7,25,21,0,0,0,0,435158803,243,133,6,5,193,255,255,255
10,418321152,55,7,25,21,0,0,0,0,435158803,18,198,6,5,193,255,255,255
11,418321152,93,7,25,21,0,0,0,0,435158803,53,6,7,5,193,255,255,255
12,418321152,116,7,25,21,0,0,0,0,435158803,89,6,7,5,193,255,255,255
13,418321152,150,7,25,21,0,0,0,0,435158803,118,70,7,5,193,255,255,255
14,418321152,175,7,25,21,0,0,0,0,435158803,153,70,7,5,193,255,255,255
15,418321152,210,7,25,21,0,0,0,0,435158803,189,70,7,5,193,255,255,255
16,418321152,232,7,25,21,0,0,0,0,435158803,220,70,7,5,193,255,255,255
17,418321152,13,16,25,21,0,0,0,0,435158803,255,70,7,5,193,255,255,255
18,418321152,64,16,25,21,0,0,0,0,435158803,31,135,7,5,201,255,255,255
19,418321152,58,16,25,21,0,0,0,0,435158803,61,135,7,5,201,255,255,255
20,418321152,88,16,25,21,0,0,0,0,435158803,97,135,7,5,201,255,255,255
21,418321152,109,16,25,21,0,0,0,0,435158803,130,135,7,5,201,255,255,255
22,418321152,139,16,25,21,0,0,0,0,435158803,162,7,7,4,201,255,255,255
23,418321152,158,16,25,21,0,0,0,0,435158803,192,135,133,3,201,255,255,255
24,418321152,181,16,25,21,0,0,0,0,435158803,212,71,133,3,201,255,255,255
25,418321152,208,16,25,21,0,0,0,0,435158803,221,199,4,0,200,255,255,255
26,418321152,224,16,25,21,0,0,0,0,435158803,221,71,1,0,200,255,255,255
27,418321152,250,16,25,21,0,0,0,0,435158803,221,7,0,0,200,255,255,255
28,418321152,9,9,25,21,0,0,0,0,435158803,220,71,0,0,200,255,255,255
29,418321152,31,9,25,21,0,0,0,0,435158803,221,71,128,1,193,255,255,255
30,418321152,46,9,25,21,0,0,0,0,435158803,242,199,5,5,193,255,255,255
31,418321152,66,9,25,21,0,0,0,0,435158803,15,200,6,5,193,255,255,255
32,418321152,77,9,25,21,0,0,0,0,435158803,50,72,7,5,193,255,255,255
33,418321152,96,9,25,21,0,0,0,0,435158803,87,136,7,5,193,255,255,255
34,418321152,106,9,25,21,0,0,0,0,435158803,115,200,7,5,193,255,255,255
35,418321152,122,9,25,21,0,0,0,0,435158803,151,200,7,5,193,255,255,255
36,418321152,132,9,25,21,0,0,0,0,435158803,186,200,7,5,193,255,255,255
37,418321152,146,9,25,21,0,0,0,0,435158803,215,200,7,5,193,255,255,255
38,418321152,153,9,25,21,0,0,0,0,435158803,250,200,7,5,193,255,255,255
